音标,word,meaning,pos,例句,词组
,advertisement,广告,n.,"The company placed a prominent advertisement on the television during the World Cup.
商家在世界杯期间在电视上放出了一个眼熟的广告。",place a prominent advertisement on 在……上投放广告
,attendance,出席,n.,"The teacher was concerned about the student's attendance.
学生常去迟到，老师很担心他的出席率。",be concerned about 担心
,beneficial,有益的,adj.,"The exercise routine has numerous beneficial effects on one's physical and mental health.
Physical and mental health receive many beneficial effects from regular exercise.
日常锻炼对一个人的身心健康有许多有益的影响。
经常锻炼对身心健康有许多有益的影响。","have numerous beneficial effects on 对……有许多有益影响
receive many beneficial effects from 从……中获得许多有益影响"
,queue,队列,n.,"People often stand in a queue at a bank to wait for service.
行人常常在银行排队等待服务。","stand in a queue 排队
wait for 等待"
/ˈbɪbliəfaɪl/,bibliophile,藏书家,n.,"She was a self-proclaimed bibliophile with a vast collection of classic novels and rare books.
她是一位自称书虫的藏书家，拥有大量的经典小说和罕见的古籍。","be a self-proclaimed bibliophile 自称是书虫
with a vast collection of 拥有大量的收藏"
/ˈmɔːtʃəri/,mortuary,太平间,n.,"The family decided to hold a memorial service at the mortuary before burying their loved one.
遗体馆内举行的葬礼预仪式在亡者被安葬之前由家属组织。","hold a memorial service 举行追悼会
at the mortuary 在殡仪馆
bury one's loved one 安葬亲人"
,bookworm,书虫,n.,"She's a bookworm and always buried in a novel at home.
她是一个喜欢读书的人，总是沉浸在小说中。","be buried in 沉浸在……中
at home 在家"
/ˈwɪdəʊə(r)/,widower,鳏夫 /guān/,n.,"The widower spent his evenings alone after losing his wife.
寡夫在妻子去世后常常过单人晚上。","spend evenings 度过晚上
lose his wife 失去妻子
after losing 在失去之后"
,tricycle,三轮车,n.,"Children often ride tricycles in the park.
孩子们常在公园里骑三轮车。","ride tricycles 骑三轮车
in the park 在公园里"
,headquarter,总部,n.,"The company's headquarter is located in New York.
中国公司的总部位于纽约。",be located in 位于
/ˈkʌtləri/,cutlery,餐具,n.,"They need to wash the cutlery before the party.
他们要在聚会前洗所有的餐具。","wash the cutlery 洗餐具
before the party 在聚会前"
/ˌɑːfθəˈmɑːlədʒi; ˌɑːpθəˈmɑːlədʒi/,ophthalmology,眼科学,n.,"The field of ophthalmology has made significant advancements in treating eye disorders and improving vision.
眼科学已对眼部疾病的治疗和视力改善做了重大的突破。","make advancements in 在……方面取得进展
treat eye disorders 治疗眼部疾病
improve vision 改善视力"
,binocular,双筒望远镜,n.,"She took out her binoculars to observe the distant mountain.
她拿出了双筒望远镜来观察距离很远的山脉。","take out 拿出
observe the distant mountain 观察遥远的山脉"
,dormitory,宿舍,n.,"In college freshmen usually live in a dormitory.
大多数大学新生都住在宿舍。","live in 居住在
in college 在大学里
in a dormitory 在宿舍里"
/ˌzenəˈfəʊbiə/,xenophobia,仇外心理,n.,"Many people in the city showed xenophobia towards immigrants from other countries.
城市里的许多人对来自其他国家的移民表现出极度排外的情绪。",show xenophobia towards 表现出排外情绪
/ˈrəʊzəri/,rosary,玫瑰园，玫瑰花坛；玫瑰经，诵经用的念珠,n.,"She slowly recited the prayers of her rosary at dawn.
她静音祈祷着晨光下的朝拜经。","recite prayers 背诵祈祷
at dawn 在黎明时"
,flutter,飘动,v.,"The butterfly started to flutter around the flowers.
butterflies began to flutter around the flowers.
蝴蝶开始在花丛中飞舞。","start to flutter 开始飞舞
begin to flutter 开始飞舞
flutter around 在……周围飞舞"
,subtraction,减法,n.,"Teachers often use subtraction to help students improve their math skills.
讲师常常利用减法来帮助学生提高数学能力。","use subtraction to help 利用减法来帮助
help sb. improve 帮助某人提高"
,horticulture,园艺学,n.,"Gardening is one of the key aspects of horticulture, which not only provides economic benefits but also contributes to biodiversity.
园艺是园艺学的一个主要方面，不仅为经济创造利益，还有助于维持生物多样性。","provide economic benefits 提供经济效益
contribute to biodiversity 有助于生物多样性"
,plumber,水管工,n.,"The plumber fixed the leak in our kitchen sink.
水管工修好了我们厨房的漏水口。","fix a leak 修理漏水
in the kitchen sink 在厨房水槽里"
/əˈbɪtʃuəri/,obituary,讣告,n.,"The newspaper published a lengthy and reflective（沉思的） obituary for the late scientist, highlighting his groundbreaking（开创性的） contributions to the field.
科学家去世后，报社发表了一篇详细的讣闻，以对他的重大科学贡献表示怀念。","publish an obituary 发布讣告
for the late 为已故的
highlight contributions 突出贡献
groundbreaking contributions 开创性贡献"
,wick,灯芯,n.,"Candle wax sticks to the wick（灯芯）.
蜡膏黏附于蜡烛芯处。",stick to 黏附于
,monologue,独白,n.,"The actor delivered a powerful monologue that moved the entire audience to tears.
演员表演的独白感动了整个院子的人。","deliver a monologue 发表独白
move sb. to tears 使某人感动落泪"
/ɪnˈsɒmniə/,insomnia,失眠症,n.,"She struggled with insomnia throughout her college years, leading to chronic fatigue and decreased academic performance.
她整个大学期间都难以入睡，导致长期疲劳和学业下滑。","struggle with 与……作斗争；受……困扰
lead to 导致；引起
chronic fatigue 长期疲劳
decreased academic performance 下滑的学业"
,zoology,动物学,n.,"Zoology is the branch of science that deals with the study of animals.
动物学是动物研究的科学分支。","deal with 涉及
the study of animals 动物研究
branch of science 科学分支"
,tenant,租户,n.,"The tenant is responsible for paying the rent on time.
出租房的租户有责任按时交租金。","be responsible for 有责任做……
pay rent 付租金
on time 按时"
,cashier,收银员,n.,"The cashier helped me ring up my purchase quickly.
收银员帮助我迅速办理购买。","help sb do sth 帮助某人做某事
ring up a purchase 结算购买"
/senˈteniəl/,centennial,一百周年,n.,"The city will hold a grand celebration to mark its centennial anniversary.
城市将举行盛大庆典来庆祝其百年华诞。","hold a grand celebration 举行盛大庆典
mark its centennial anniversary 庆祝其百年华诞"
,footer,页脚,n.,"The company's footer included its contact information and social media links.
该公司的页脚包括其联系信息和社交媒体链接。","include contact information 包含联系信息
social media links 社交媒体链接"
/əbˈsteɪn/,abstain,弃权,v.,"She decided to abstain from social media to focus on her studies.
她决定放弃社交媒体专心学习。","abstain from 放弃
focus on 专注于"
,sophomore,大学二年级学生,n.,"The sophomore class is planning a charity event for the school.
第二年级的学生们正在为学校计划一场慈善活动。","plan a charity event 计划一场慈善活动
for the school 为学校"
,multiplication,乘法,n.,"The new calculator can perform multiplication operations very quickly.
算术加速器能快速进行乘法运算。",perform multiplication operations 执行乘法运算
/ˈnɪkətiːn/,nicotine,尼古丁,n.,"Smokers often experience withdrawal symptoms such as anxiety and irritability when they stop consuming nicotine.
烟民在戒烟后常常会感到焦虑、易怒等戒断症状。","experience withdrawal symptoms 经历戒断症状
stop consuming nicotine 停止消耗尼古丁
such as 例如"
,waiter,服务员,n.,"The waiter brought us our food right away.
服务员快递食物给我们。",bring sb. sth. 给某人带来某物
,autobiography,自传,n.,"Her most famous work is a bestselling autobiography.
她最著名的作品是一部畅销自传。",bestselling autobiography 畅销自传
/ˈpærəʃuːt/,parachute,降落伞,n.,"Parachutists need extensive training before making a jump.
降落伞飞行员需要接受大量训练才能进行跳伞。","need extensive training 需要大量训练
make a jump 进行跳伞"
/ˌpɜːpənˈdɪkjələ(r)/,perpendicular,垂直的,adj.,"The streets intersect at a 90-degree angle, making them perpendicular to each other.
 街道们在一个90度的角度相交，使得它们是互相垂直的。","intersect at 相交于
perpendicular to 垂直于"
/ˈpreljuːd/,prelude,前奏,n.,"The orchestra's performance served as a prelude to the grand finale /fɪˈnæli/ （结局；终曲；最后一场；最后乐章；尾声）.
乐队的表演作为盛大的结束曲的前奏。","serve as 作为
as a prelude to 作为……的前奏"
,policeman,警察,n.,"The policeman was helping direct traffic at the accident scene.
警察在事故现场帮助指挥交通。","help direct 帮助指挥
direct traffic 指挥交通
at the accident scene 在事故现场"
"英/kɑːf/
美/kæf/",calf,牛犊；小腿,n.,"The mother kept a close eye on her playful calf.
母牛一直盯着她的孩子小牛不放。",keep a close eye on 密切关注
,monument,纪念碑,n.,"The ancient pyramid was considered  as a monumental structure of the past.
古代金字塔被认为是过去的纪念性建筑。","be considered as 被视为
monumental structure 纪念性建筑"
/ˈmɜːmeɪd/,mermaid,美人鱼,n.,"The mermaid swam in the ocean.
美人鱼在海洋里游泳。",swim in the ocean 在海洋里游泳
,harp,竖琴,n.,"The musician played a beautiful melody on the harp.
乐手在古钢琴上弹奏了一首美妙的旋律。","play a melody 弹奏旋律
on the harp 在竖琴上"
,cola,可乐,n.,"The new cola tastes really sweet.
可乐的味道非常甜。",taste really sweet 尝起来真的很甜
/ˈəʊv(ə)l/,oval,椭圆形的,adj.,"The tennis court is an oval shape.
网球场呈椭圆形",be an oval shape 呈椭圆形
/ˈbiːkən/,beacon,灯塔,n.,"The lighthouse stood tall as a beacon, warning ships of the rocky coastline.
领航灯像灯塔一样高高耸立，提醒船只注意多岩石的海岸线。","stand tall 高耸
as a beacon 作为灯塔
warn of 警告……"
,butcher,屠夫,n.,"The butcher has a wide selection of fresh meats for customers.
肉店里的屠夫有大量的新鲜肉类供顾客选择。","have a wide selection of 拥有广泛的选择
for customers 供顾客"
,auditor,审计员,n.,"The accountant is now an auditor at the company.
财务员现在是公司的审计员。",be an auditor at 在...担任审计员
/ˈɒŋkɔː(r)/,encore,再演唱的要求；经要求而再唱,n.vt.,"The crowd began chanting ""encore"" after the singer finished her final song.
演唱者结束最后一首歌后，观众便开始热烈呐喊演出继续。","begin chanting 开始呐喊
chant 'encore' 喊“安可”
finish one's final song 结束最后一首歌"
/ˈpəʊni/,pony,小马,n.,"The little girl rode her pony around the field.
 小女孩骑着自己的小马在田野里奔跑。","ride a pony 骑小马
around the field 围绕田野"
,feather,羽毛,n.,"The bird carefully wrapped its delicate feathers around its body.
那只鸟小心地把娇嫩的羽毛裹在身上。",wrap around 包裹
,tolerant,宽容的,adj.,"She is a tolerant person and can accept people with different opinions.
她是一个很宽容的人，能接受不同观点的人。","be tolerant 宽容的
accept people with different opinions 接受不同观点的人"
,ankle,脚踝,n.,"She sprained her ankle during the game.
她在赛场上扭了脚踝。","sprain one's ankle 扭伤脚踝
during the game 在比赛期间"
/bɔːld/,bald,秃头的,adj.,"He shaved his head, leaving him bald.
他剃光了头发，变成光头了。",shave one's head 剃光头
,peel,剥皮,v.,"The skin of the banana needs to be peeled before eating it.
香蕉的皮需要剥掉再吃。","need to be peeled 需要被剥皮
before eating 在吃之前"
,gem,宝石,n.,"The jewelry store displayed several beautiful gem stones.
钻石店里的许多精美的宝石都陈列在那里。",display gem stones 展示宝石
,dam,水坝,n.,"The dam blocked the flow of the river.
水坝阻挡了河流的流量。","block the flow 阻挡流动
the flow of the river 河流的流量"
,unicorn,独角兽,n.,"The legend of the unicorn has been a popular theme in medieval literature.
独角兽的传说在中世纪文学中一直是一个流行的主题。","be a popular theme 成为流行主题
in medieval literature 在中世纪文学中"
,composer,作曲家,n.,"The talented composer wrote a beautiful symphony that won several awards.
这位才华横溢的作曲家写了一首获得几项大奖的美妙的交响曲。","write a symphony 写交响曲
win awards 赢得奖项"
,herb,草药,n.,"She added fresh herbs to the salad.
她在沙拉中加了新鲜的香草。",add to 添加到
,selfish,自私的,adj.,"He only cares about his own needs, which makes everyone consider him selfish.
他只关心自己的需求，众人都觉得他自私。",care about 关心
,nail,钉子,n.,"She carefully hammered the nail into the wooden plank.
她小心地把钉子钉进木板。","hammer a nail into 把钉子敲进
wooden plank 木板"
/məˈmɔːriəl/,memorial,纪念的,adj.,"The statue was built as a memorial（n.） to honor the hero who saved the city.
纪念塑像是为救出城市英雄而建造的。","build as a memorial 建造作为纪念物
honor the hero 尊敬英雄
save the city 拯救城市"
/æmˈbæsədə(r)/,ambassador,大使,n.,"The diplomat was appointed as the new ambassador to the neighboring country.
大使被任命为邻国的新大使。","be appointed as 被任命为
ambassador to 驻……的大使"
,swamp,沼泽,n.,"The area became a swamp after the hurricane flooded it.
沼泽地成为飓风洪水淹没之后的结果。","become a swamp 变成沼泽地
flood 淹没"
,shoplift,在商店偷窃,v.,"She got caught by the security guard while shoplifting（入店行窃） in the store.
她在商店被保安抓到了偷盗案。",be caught shoplifting 被抓到入店行窃
,shoelace,鞋带,n.,"She tightened her shoelace before going for a run.
她系好鞋带后就去跑步了。","tighten shoelace 系紧鞋带
go for a run 去跑步"
/ɔːˈtɒkrəsi/,autocracy,独裁政体,n.,"In authoritarian regimes, it is common to see autocratic leaders who have complete control over the government.
在威权主义的政权中，常见的是具有绝对权力控制政府的法西斯主义者。","in authoritarian regimes 在威权主义政权中
it is common to see 常见的是
autocratic leaders 专制领导
have complete control over 完全控制"
/ˈsʌndaɪəl/,sundial,日晷,n.,"The ancient sundial on the wall is no longer accurate due to the changing angle of the sun's rays.
古代的日晷板挂在墙上但已经不准确，因为太阳光的射线的倾斜角度变了。","on the wall 在墙上
be no longer accurate 不再准确
due to 由于"
,aeroplane,飞机,n.,"The aeroplane landed safely at the airport.
飞机安全降落在机场。",land at the airport 降落在机场
/kənˈteɪdʒən/,contagion,传染病,n.,"The virus has high contagiousness, spreading rapidly throughout the city.
 疫情极易传播，迅速在城市内蔓延。","have high contagiousness 具有高度传染性
spread rapidly 迅速传播
throughout the city 在整个城市"
,manmade,人造的,adj.,"The city's architecture is predominantly manmade.
城市的大部分建筑是人类创造的。",be manmade 是人造的
/baɪˈeniəl/,biennial,两年一次的,adj.,"Some flowers are biennial, they bloom every two years.
某些花卉为双年生，两年才开花一次。","be biennial 双年生
bloom every two years 每两年开花一次
every two years 每两年"
/dʒəˈrɑːf/,giraffe,长颈鹿,n.,"The giraffe's long neck allowed it to reach leaves on tall trees.
长颈的长颈鹿可以够到高树上的叶子。","allow to reach 使能够够到
reach leaves 够到树叶
on tall trees 在高树上"
,nostril,鼻孔,n.,"She covered one of her nostrils with a cloth to filter out the dusty air inside the mine.
她用布遮住了一个鼻孔，以免吸入矿中的灰尘。","cover with 用…覆盖
filter out 过滤掉
inside the mine 在矿井里"
,toxin,毒素,n.,"The snake's venom（毒液） is a powerful toxin.
 蛇的毒液是一种强有力的毒素。",be a powerful toxin 是一种强力毒素
/kɒnˈkeɪv/,concave,凹的,adj.,"The curve of the moon's surface is concave.
月面曲线是凹的。",be concave 是凹的
